排名,武将
1,赵云
2,霍去病
3,孙尚香
4,嬴政
5,司马炎
6,郭嘉
7,诸葛亮
8,王异
9,张角
10,陆逊
11,法正
12,黄月英
13,袁术
14,孙策
15,申不害
16,孙权
17,刘邦
18,甘宁
19,李牧
20,荀彧
21,鲁仲连
22,韩娥
23,章邯
24,乐毅
25,夏侯惇
26,刘彻
27,张辽
28,曹丕
29,大乔
30,卫青
31,廉颇
32,左慈
33,吕不韦
34,赵奢
35,韩非
36,项梁
37,吕雉
38,陈宫
39,吕蒙
40,赵威后
41,苏秦
42,子婴
43,周瑜
44,高渐离
45,吕布
46,庞统
47,信陵君
48,张宝
49,赵姬
50,钟无艳
51,甄宓
52,周勃
53,张良
54,宋玉
55,张骞
56,曹仁
57,袁绍
58,貂蝉
59,太史慈
60,尉缭
61,陈阿娇
62,萧何
63,蔺相如
64,徐盛
65,巴清
66,关羽
67,平阳公主
68,春申君
69,卫子夫
70,龙且
71,芈八子
72,马超
73,董卓
74,张仪
75,君王后
76,刘备
77,白起
78,孟姚
79,董仲舒
80,范增
81,蒙恬
82,卓文君
83,赵婕妤
84,主父偃
85,张梁
86,王翦
87,小乔
88,张春华
89,张飞
90,曹操
91,李信
92,郑袖
93,傅玄
94,公孙瓒
95,司马相如
96,凌统
97,曹植
98,韩信
99,陈平
100,孙坚
101,范雎
102,蒙毅
103,步练师
104,蔡文姬
105,鲁肃
106,项羽
107,项燕
108,英布
109,樊哙
110,燕昭王
111,庞煖
112,魏延
113,吴国太
114,平原君
115,太子丹
116,张郃
117,桑弘羊
118,李斯
119,钟离眜
120,陆机
121,徐晃
122,虞姬
123,郭隗
124,郑国
125,刘禅
126,张华
127,姜维
128,卢莫愁
129,李广
130,孟尝君
131,扶苏
132,黄盖
133,孟获
134,陈胜
135,田单
136,郭解
137,李夫人
138,如姬
139,华佗
140,羊祜
141,祝融夫人
142,典韦
143,季布
144,西门豹
145,荆轲
146,司马懿
147,黄忠
148,贾诩
149,侯嬴
150,霍光
151,朱亥
152,刘表
153,刘据
154,荀勖
155,魏咎
156,刘协
157,暴鸢
158,郭舍人
159,许褚
160,秦舞阳
