期望排名,OCR排名,OCR名称,OCR胜率,数字模板胜率,数字模板置信度,置信度,异常原因,原图坐标,行截图路径
20,20,荀或,,,0.0000,0.9359,武将名称已由词表校正,"562,3128,1048,3182",G:\py_savepoint\test_project\screenshot_data\official_import\2v2出场排行\020.png
25,25,夏侯,,,0.0000,0.8334,武将名称已由词表校正,"562,3394,1048,3442",G:\py_savepoint\test_project\screenshot_data\official_import\2v2出场排行\025.png
28,28,曹不,,,0.0000,0.9779,武将名称已由词表校正,"562,3546,1048,3600",G:\py_savepoint\test_project\screenshot_data\official_import\2v2出场排行\028.png
71,71,半八子,,,0.0000,0.9216,武将名称已由词表校正,"562,5804,1048,5858",G:\py_savepoint\test_project\screenshot_data\official_import\2v2出场排行\071.png
109,109,樊哙,,,0.0000,0.6972,武将名称置信度低,"562,7800,1048,7852",G:\py_savepoint\test_project\screenshot_data\official_import\2v2出场排行\109.png
116,116,张邰,,,0.0000,0.7389,武将名称已由词表校正；武将名称置信度低,"562,8172,1048,8222",G:\py_savepoint\test_project\screenshot_data\official_import\2v2出场排行\116.png
119,119,钟离昧,,,0.0000,0.9625,武将名称已由词表校正,"562,8330,1048,8380",G:\py_savepoint\test_project\screenshot_data\official_import\2v2出场排行\119.png
148,148,贾谢,,,0.0000,0.9241,武将名称已由词表校正,"562,9856,1048,9904",G:\py_savepoint\test_project\screenshot_data\official_import\2v2出场排行\148.png
149,149,侯嬴,,,0.0000,0.7424,武将名称置信度低,"562,9904,1048,9960",G:\py_savepoint\test_project\screenshot_data\official_import\2v2出场排行\149.png
155,155,魏答,,,0.0000,0.9621,武将名称已由词表校正,"562,10224,1048,10278",G:\py_savepoint\test_project\screenshot_data\official_import\2v2出场排行\155.png
