排名,武将,胜率
1,卫玠,73.75%
2,白起,73.16%
3,赵奢,71.61%
4,司马炎,65.86%
5,嬴政,65.45%
6,杜预,60.87%
7,吕雉,59.51%
8,韩娥,58.33%
9,子婴,58.24%
10,平阳公主,58.11%
11,孙权,57.20%
12,主父偃,56.74%
13,王元姬,56.66%
14,霍去病,56.40%
15,袁术,56.23%
16,萧何,56.23%
17,郭嘉,55.73%
18,乐毅,55.62%
19,赵威后,55.54%
20,吕不韦,55.44%
21,法正,55.27%
22,夏侯惇,54.75%
23,刘彻,54.68%
24,张良,54.66%
25,徐盛,54.52%
26,王异,54.35%
27,君王后,54.28%
28,张华,54.24%
29,庞统,54.05%
30,蔺相如,54.05%
31,鲁仲连,54.02%
32,巴清,53.88%
33,章邯,53.55%
34,孙策,53.40%
35,大乔,53.34%
36,赵婕妤,53.24%
37,曹丕,53.11%
38,龙且,53.11%
39,吕蒙,53.03%
40,钟无艳,52.74%
41,韩安国,52.41%
42,春申君,52.37%
43,马超,52.12%
44,赵云,52.00%
45,张辽,51.61%
46,高渐离,51.57%
47,廉颇,51.52%
48,陈宫,51.38%
49,荀彧,51.26%
50,卫青,51.17%
51,陆逊,51.11%
52,诸葛亮,51.09%
53,桑弘羊,51.09%
54,曹仁,50.59%
55,甘宁,50.58%
56,李牧,50.40%
57,周勃,50.17%
58,信陵君,49.91%
59,申不害,49.90%
60,孙尚香,49.64%
61,刘备,49.57%
62,卓文君,49.44%
63,步练师,48.91%
64,董仲舒,48.22%
65,陈平,47.91%
66,陈阿娇,47.63%
67,董卓,47.58%
68,张飞,47.58%
69,张角,47.56%
70,周瑜,47.50%
71,魏延,47.36%
72,芈八子,47.22%
73,姜维,46.90%
74,甄宓,46.89%
75,虞姬,46.83%
76,范增,46.78%
77,鲁肃,46.71%
78,袁绍,46.70%
79,平原君,46.40%
80,蒙恬,45.40%
81,张骞,45.27%
82,左慈,45.24%
83,陈胜,45.19%
84,太子丹,44.77%
85,张宝,44.61%
86,曹操,44.50%
87,黄月英,44.46%
88,侯嬴,44.39%
89,燕昭王,44.37%
90,太史慈,44.02%
91,蔡文姬,43.74%
92,貂蝉,43.59%
93,孟姚,43.52%
94,刘邦,43.38%
95,项梁,43.35%
96,张春华,43.32%
97,尉缭,43.26%
98,凌统,43.12%
99,扶苏,43.04%
100,英布,43.01%
101,王翦,42.78%
102,孙坚,42.69%
103,项羽,42.67%
104,蒙毅,42.66%
105,祝融夫人,42.64%
106,张郃,42.62%
107,郑袖,42.32%
108,赵姬,42.30%
109,吕布,42.28%
110,樊哙,42.13%
111,郑国,42.08%
112,项燕,41.89%
113,苏秦,41.68%
114,庞煖,41.66%
115,李夫人,41.58%
116,终军,41.41%
117,关羽,41.29%
118,司马相如,41.27%
119,张梁,41.26%
120,韩非,40.91%
121,韩信,40.73%
122,小乔,40.69%
123,傅玄,40.53%
124,卫子夫,40.45%
125,郭隗,40.42%
126,西门豹,40.33%
127,刘协,40.06%
128,贾诩,39.92%
129,范雎,39.90%
130,徐晃,39.85%
131,孟尝君,39.78%
132,卢莫愁,39.74%
133,宋玉,39.68%
134,霍光,39.41%
135,孟获,39.31%
136,张仪,39.23%
137,黄盖,39.21%
138,田单,39.00%
139,李信,38.69%
140,曹植,38.55%
141,李广,38.38%
142,季布,38.35%
143,吴国太,38.01%
144,公孙瓒,37.88%
145,刘禅,37.70%
146,钟离眜,37.27%
147,秦舞阳,37.27%
148,黄忠,36.71%
149,典韦,36.68%
150,陆机,36.43%
151,华佗,36.30%
152,荆轲,35.68%
153,如姬,35.16%
154,刘表,35.06%
155,许褚,34.78%
156,李斯,34.45%
157,乐广,34.44%
158,郭解,33.68%
159,魏咎,33.22%
160,荀勖,32.78%
161,司马懿,32.50%
162,郭舍人,32.05%
163,朱亥,31.22%
164,刘据,30.61%
165,暴鸢,30.23%
166,羊祜,30.04%
