武將1,武將2,描述,实战评级,座次解析,导入日期
卢莫愁,张梁,惊羽弓,8,卢莫愁[2] + 张梁[3],2026-08-29
吕布,卢莫愁,方天画戟连弩,8,吕布[3] + 卢莫愁[2],2026-08-29
田单,吴国太,恶心阵容,8,田单[1/3] + 吴国太[2/4],2026-08-29
白起,韩娥,徵标记,8,白起[1/3] + 韩娥[2/4],2026-08-29
羊献容,平阳公主,发技能,8,羊献容[3/4] + 平阳公主[1/2],2026-08-29
苏武,卢莫愁,首回合觉醒给连弩,8,苏武[1] + 卢莫愁[4],2026-08-29
陈阿娇,周勃,双刀不卡上限,8,陈阿娇[2/4] + 周勃[1/3],2026-08-29
韩娥,孙权,角标记,8,韩娥[2/4] + 孙权[1/3],2026-08-29
韩娥,张角,角标记,8,韩娥[2/4] + 张角[1/3],2026-08-29
韩娥,吕布,徵标记,8,韩娥[2/4] + 吕布[1/3],2026-08-29
临海公主,赵云,对己方使用技能,7,临海公主[1/2] + 赵云[3/4],2026-08-29
刘禅,卢莫愁,需要无中盗骊,7,刘禅[1/2] + 卢莫愁[3/4],2026-08-29
卢莫愁,项燕,连弩,7,卢莫愁[1/3] + 项燕[2/4],2026-08-29
卢莫愁,赵姬,连弩,7,卢莫愁[2] + 赵姬[3],2026-08-29
太子丹,西门豹,双回合扭扭怪,7,太子丹[3/4] + 西门豹[1/2],2026-08-29
巴清,韩娥,角标记,7,巴清[1/2] + 韩娥[3/4],2026-08-29
杨艳,孙坚,需要起手牌刷装备,7,杨艳[2] + 孙坚[3],2026-08-29
步练师,韩娥,角标记,7,步练师[1/3] + 韩娥[2/4],2026-08-29
郭嘉,马钧,刷拿牌,7,郭嘉[2/4] + 马钧[1/3],2026-08-29
韩娥,张良,宫标记,7,韩娥[4] + 张良[1],2026-08-29
韩娥,吕蒙,角宫标记,7,韩娥[1/2] + 吕蒙[3/4],2026-08-29
韩娥,刘彻,角标记,7,韩娥[2/4] + 刘彻[1/3],2026-08-29
韩娥,孙尚香,角标记,7,韩娥[2/4] + 孙尚香[1/3],2026-08-29
韩娥,赵云,徵标记,7,韩娥[2/4] + 赵云[1/3],2026-08-29
韩娥,诸葛亮,宫标记,7,韩娥[3/4] + 诸葛亮[1/2],2026-08-29
韩娥,甘宁,敌方羽标记角,7,韩娥[3/4] + 甘宁[1/2],2026-08-29
韩娥,小乔,角标记,7,韩娥[2/4] + 小乔[1/3],2026-08-29
韩娥,蒙恬,角标记,7,韩娥[2/4] + 蒙恬[1/3],2026-08-29
临海公主,韩娥,公主角标记,6,临海公主[1/2] + 韩娥[3/4],2026-08-29
临海公主,张角,公主把牌传给,6,临海公主[1/2] + 张角[3/4],2026-08-29
卢莫愁,刘邦,给点的牌,6,卢莫愁[2] + 刘邦[3],2026-08-29
卢莫愁,太史慈,惊羽弓,6,卢莫愁[2] + 太史慈[3],2026-08-29
卢莫愁,夏侯惇,连弩,6,卢莫愁[1/3] + 夏侯惇[2/4],2026-08-29
卢莫愁,苏秦,飒露紫,6,卢莫愁[2] + 苏秦[3],2026-08-29
卫子夫,郭嘉,无限卖血,6,卫子夫[3] + 郭嘉[2],2026-08-29
大乔,韩娥,敌方羽己方角,6,大乔[1/2] + 韩娥[3/4],2026-08-29
太子丹,刘邦,双回合刷牌扭扭怪,6,太子丹[3/4] + 刘邦[1/2],2026-08-29
孙坚,华佗,刮骨敌方,6,孙坚[3] + 华佗[2],2026-08-29
孙权,徐盛,递装备,6,孙权[3/4] + 徐盛[1/2],2026-08-29
春申君,韩娥,角标记,6,春申君[1/3] + 韩娥[2/4],2026-08-29
杨艳,王异,给补牌,6,杨艳[2] + 王异[3],2026-08-29
郑袖,典韦,卖血暴击组合,6,郑袖[2] + 典韦[3],2026-08-29
韩信,卢莫愁,惊羽弓,6,韩信[3] + 卢莫愁[2],2026-08-29
韩娥,钟无艳,徵标记,6,韩娥[3/4] + 钟无艳[1/2],2026-08-29
韩娥,卓文君,敌方羽标记己方角标记,6,韩娥[3/4] + 卓文君[1/2],2026-08-29
韩娥,黄月英,宫标记,6,韩娥[2/4] + 黄月英[1/3],2026-08-29
韩娥,张宝,敌方羽标记,6,韩娥[2/4] + 张宝[1/3],2026-08-29
韩娥,董仲舒,角标记,6,韩娥[4] + 董仲舒[1],2026-08-29
韩娥,李斯,敌方羽标记,6,韩娥[2/4] + 李斯[1/3],2026-08-29
韩娥,范增,角标记,6,韩娥[2/4] + 范增[1/3],2026-08-29
韩娥,关羽,徵标记,6,韩娥[2/4] + 关羽[1/3],2026-08-29
项梁,卢莫愁,需要轩辕剑方天画戟惊羽弓,6,项梁[3] + 卢莫愁[2],2026-08-29
马钧,曹操,刷队友拿牌,6,马钧[1] + 曹操[4],2026-08-29
马钧,荀彧,刷队友拿牌,6,马钧[1/2] + 荀彧[3/4],2026-08-29
关羽,李牧,找乌骓小心万军取首,5,关羽[1] + 李牧[4],2026-08-29
杨艳,刘据,赌秒一个,5,杨艳[2] + 刘据[3],2026-08-29
杨艳,刘邦,摸不到点,4,杨艳[1/2] + 刘邦[3/4],2026-08-29
荀彧,张飞,卖血超级,4,荀彧[任意] + 张飞[任意],2026-08-29
韩娥,孙坚,角标记,4,韩娥[3/4] + 孙坚[1/2],2026-08-29
韩娥,钟离眜,徵标记需要距离,3,韩娥[3/4] + 钟离眜[1/2],2026-08-29
杨艳,赵威后,两个角色都需要先手不推荐,2,杨艳[任意] + 赵威后[任意],2026-08-29
田单,孙尚香,有短板别玩,2,田单[任意] + 孙尚香[任意],2026-08-29
