武将ID,武将,胜率,出场排名,禁用排名,出场得分,禁用得分,偏好得分,胜率系数,原始推荐指数,推荐分,评级,推荐排序,状态,异常原因
1,蔡文姬,45.33%,104,70,0.35220126,0.56603774,0.61810846,0.43192537,0.12102055,21,C,87,有效,
2,董卓,48.29%,73,42,0.54716981,0.74213836,0.87437997,0.50549978,0.21344126,40,B,62,有效,
11,华佗,35.95%,139,22,0.13207547,0.86792453,0.43830545,0.22934737,0.03613845,4,D,141,有效,
12,吕布,45.79%,45,57,0.72327044,0.64779874,1.03080970,0.44324565,0.20921539,39,C,63,有效,
18,袁绍,47.56%,57,4,0.64779874,0.98113208,1.07058265,0.48725276,0.24809406,47,B,58,有效,
19,蒙恬,45.54%,81,46,0.49685535,0.71698113,0.81167675,0.43708524,0.16156313,29,C,73,有效,
20,蒙毅,42.05%,102,36,0.36477987,0.77987421,0.68360429,0.35388626,0.10172659,17,D,110,有效,
21,貂蝉,44.68%,58,123,0.64150943,0.23270440,0.79619082,0.41605241,0.14800568,27,C,78,有效,
22,章邯,54.93%,23,6,0.86163522,0.96855346,1.31997943,0.66507652,0.48222351,94,S,12,有效,
23,张角,48.90%,9,14,0.94968553,0.91823899,1.40038764,0.52073810,0.35659601,69,A,30,有效,
24,子婴,59.90%,42,99,0.74213836,0.38364780,0.94596337,0.76548678,0.43374935,84,S,18,有效,
25,关羽,41.61%,66,48,0.59119497,0.70440252,0.90997192,0.34389149,0.13021084,23,C,106,有效,
26,张良,55.13%,53,15,0.67295597,0.91194969,1.07504054,0.66951670,0.39680237,77,A,22,有效,
27,萧何,56.44%,62,126,0.61635220,0.21383648,0.76718484,0.69783301,0.30216108,58,B,48,有效,
28,吕雉,58.69%,37,49,0.77358491,0.69811321,1.10469918,0.74307256,0.48176957,94,S,13,有效,
29,刘邦,44.45%,17,60,0.89937107,0.62893082,1.20864681,0.41047551,0.22052530,41,B,60,有效,
30,韩信,41.61%,98,148,0.38993711,0.07547170,0.53126854,0.34389149,0.07602094,12,D,120,有效,
31,钟离眜,38.81%,119,94,0.25786164,0.41509434,0.49061350,0.28373693,0.05402553,7,D,130,有效,
32,虞姬,47.54%,122,43,0.23899371,0.73584906,0.53512519,0.48675310,0.12382927,22,C,84,有效,
33,英布,42.52%,108,58,0.32704403,0.64150943,0.60970689,0.36470515,0.09454885,16,D,113,有效,
34,项羽,42.95%,106,133,0.33962264,0.16981132,0.51174795,0.37472480,0.08236292,13,D,115,有效,
35,龙且,53.68%,70,39,0.56603774,0.76100629,0.90123413,0.63668389,0.30801651,59,B,47,有效,
36,范增,47.43%,80,141,0.50314465,0.11949686,0.63851509,0.48400546,0.14657994,26,C,79,有效,
37,周瑜,47.43%,43,41,0.73584906,0.74842767,1.08381393,0.48400546,0.24880443,47,B,57,有效,
38,小乔,40.99%,87,28,0.45911950,0.83018868,0.80277679,0.33004092,0.10860267,19,D,109,有效,
39,孙权,58.03%,16,81,0.90566038,0.49685535,1.15420672,0.73027140,0.48912568,96,S,11,有效,
40,孙策,54.01%,14,80,0.91823899,0.50314465,1.16970848,0.64428240,0.40703156,79,A,21,有效,
41,陆逊,52.05%,10,114,0.94339623,0.28930818,1.09282070,0.59820704,0.34026805,65,A,36,有效,
42,鲁肃,47.24%,105,55,0.34591195,0.66037736,0.63414026,0.47926190,0.14357146,26,C,80,有效,
43,甘宁,50.84%,18,89,0.89308176,0.44654088,1.11863850,0.56881058,0.32349157,62,A,44,有效,
44,大乔,53.81%,29,31,0.82389937,0.81132075,1.20763024,0.63968564,0.41568425,81,S,20,有效,
45,甄宓,47.17%,51,121,0.68553459,0.24528302,0.84021597,0.47751518,0.18925353,35,C,66,有效,
46,张辽,52.57%,27,38,0.83647799,0.76729560,1.20264230,0.61063923,0.38606387,75,A,25,有效,
47,许褚,35.53%,159,20,0.00628931,0.88050314,0.29529686,0.22200849,0.02329290,1,D,151,有效,
48,司马懿,30.43%,146,24,0.08805031,0.85534591,0.38610023,0.14629008,0.01718767,0,D,153,有效,
49,郭嘉,56.14%,6,78,0.96855346,0.51572327,1.22621732,0.69146985,0.47600674,93,S,14,有效,
50,典韦,35.00%,142,18,0.11320755,0.89308176,0.42031565,0.21298929,0.03133296,3,D,145,有效,
51,曹操,46.05%,90,139,0.44025157,0.13207547,0.58866738,0.44967102,0.12189742,21,C,86,有效,
52,诸葛亮,52.37%,7,79,0.96226415,0.50943396,1.21683873,0.60587367,0.38609811,75,A,24,有效,
53,赵云,52.58%,1,30,1.00000000,0.81761006,1.40880503,0.61087697,0.45250692,88,S,17,有效,
54,张飞,48.68%,89,88,0.44654088,0.45283019,0.68339860,0.51524527,0.17141099,31,C,69,有效,
55,孙尚香,50.67%,3,72,0.98742138,0.55345912,1.26388197,0.56463629,0.36159816,70,A,29,有效,
56,马超,51.76%,72,25,0.55345912,0.84905660,0.91564020,0.59121732,0.28019880,53,B,52,有效,
57,刘备,50.38%,76,122,0.52830189,0.23899371,0.69704521,0.55749456,0.19577613,36,C,64,有效,
58,黄忠,37.87%,147,34,0.08176101,0.79245283,0.37057078,0.26502740,0.03719266,4,D,139,有效,
59,左慈,46.21%,32,26,0.80503145,0.84276730,1.19968356,0.45363360,0.25148257,47,B,56,有效,
60,孟尝君,40.20%,130,95,0.18867925,0.40880503,0.42267711,0.31281319,0.05315203,7,D,132,有效,
61,李斯,34.25%,118,61,0.26415094,0.62264151,0.53937344,0.20068798,0.03707418,4,D,140,有效,
62,扶苏,43.15%,131,63,0.18238994,0.61006289,0.45142597,0.37942253,0.07390783,11,D,100,有效,
