排名,武将
1,曹仁
2,春申君
3,白起
4,袁绍
5,暴鸢
6,董仲舒
7,章邯
8,卫玠
9,曹丕
10,司马炎
11,刘彻
12,法正
13,王异
14,巴清
15,蔺相如
16,张良
17,张角
18,嬴政
19,秦舞阳
20,典韦
21,许褚
22,霍去病
23,徐盛
24,华佗
25,马超
26,小乔
27,高渐离
28,陈胜
29,司马懿
30,左慈
31,大乔
32,袁术
33,韩非
34,赵云
35,黄忠
36,蒙毅
37,龙且
38,郭隗
39,周勃
40,鲁仲连
41,董卓
42,张辽
43,虞姬
44,孟获
45,周瑜
46,韩娥
47,郑国
48,张骞
49,季布
50,赵姬
51,蒙恬
52,关羽
53,吕雉
54,主父偃
55,吕布
56,祝融夫人
57,刘邦
58,桑弘羊
59,西门豹
60,鲁肃
61,申不害
62,曹植
63,君王后
64,李斯
65,英布
66,扶苏
67,夏侯惇
68,张仪
69,蔡文姬
70,张郃
71,陈宫
72,赵威后
73,吴国太
74,魏咎
75,郑袖
76,羊祜
77,甘宁
78,燕昭王
79,孙尚香
80,李牧
81,荆轲
82,黄盖
83,郭嘉
84,侯嬴
85,朱亥
86,庞统
87,钟无艳
88,宋玉
89,孙权
90,张飞
91,诸葛亮
92,吕蒙
93,尉缭
94,孙策
95,张春华
96,张梁
97,钟离眜
98,李夫人
99,徐晃
100,孟尝君
101,孟姚
102,子婴
103,荀彧
104,李广
105,贾诩
106,公孙瓒
107,刘表
108,郭舍人
109,乐广
110,信陵君
111,卫子夫
112,田单
113,赵婕妤
114,姜维
115,步练师
116,如姬
117,苏秦
118,项梁
119,霍光
120,陆逊
121,张宝
122,陆机
123,太子丹
124,陈平
125,刘备
126,赵奢
127,平阳公主
128,刘协
129,樊哙
130,魏延
131,甄宓
132,王元姬
133,貂蝉
134,陈阿娇
135,张华
136,荀勖
137,萧何
138,李信
139,杜预
140,项燕
141,吕不韦
142,司马相如
143,郭解
144,卢莫愁
145,孙坚
146,刘据
147,芈八子
148,卓文君
149,曹操
150,庞煖
151,项羽
152,卫青
153,范增
154,平原君
155,傅玄
156,太史慈
157,凌统
158,黄月英
159,乐毅
160,范雎
161,廉颇
162,刘禅
163,韩信
164,王翦
165,韩安国
166,终军
