期望排名,OCR排名,OCR名称,OCR胜率,数字模板胜率,数字模板置信度,置信度,异常原因,原图坐标,行截图路径
7,7,曹不,,,0.0000,0.9803,武将名称已由词表校正,"32,2415,518,2469",G:\py_savepoint\test_project\screenshot_data\official_import\武将放逐\007.png
33,33,售仲连,,,0.0000,0.9142,武将名称已由词表校正,"32,3783,518,3833",G:\py_savepoint\test_project\screenshot_data\official_import\武将放逐\033.png
65,65,夏侯怀,,,0.0000,0.7765,武将名称已由词表校正,"32,5461,518,5513",G:\py_savepoint\test_project\screenshot_data\official_import\武将放逐\065.png
66,66,张邰,,,0.0000,0.7715,武将名称已由词表校正,"32,5513,518,5567",G:\py_savepoint\test_project\screenshot_data\official_import\武将放逐\066.png
82,82,侯赢,,,0.0000,0.6753,武将名称已由词表校正；武将名称置信度低,"562,2153,1048,2207",G:\py_savepoint\test_project\screenshot_data\official_import\武将放逐\082.png
87,87,魏答,,,0.0000,0.9326,武将名称已由词表校正,"562,2415,1048,2469",G:\py_savepoint\test_project\screenshot_data\official_import\武将放逐\087.png
94,94,钟离昧,,,0.0000,0.9510,武将名称已由词表校正,"562,2783,1048,2837",G:\py_savepoint\test_project\screenshot_data\official_import\武将放逐\094.png
96,96,荀或,,,0.0000,0.8905,武将名称已由词表校正,"562,2889,1048,2941",G:\py_savepoint\test_project\screenshot_data\official_import\武将放逐\096.png
109,109,贾谢,,,0.0000,0.9964,武将名称已由词表校正,"562,3571,1048,3623",G:\py_savepoint\test_project\screenshot_data\official_import\武将放逐\109.png
116,116,樊哙,,,0.0000,0.5277,武将名称置信度低,"562,3939,1048,3993",G:\py_savepoint\test_project\screenshot_data\official_import\武将放逐\116.png
134,134,半八子,,,0.0000,0.9235,武将名称已由词表校正,"562,4887,1048,4941",G:\py_savepoint\test_project\screenshot_data\official_import\武将放逐\134.png
